name,wrl1,category1,gender1,nation,age,weight,weight_mt,height,height_cur,cur_ref
Gulnoza MATNIYAZOVA,#17,-70,W,Uzbekistan,29,69.9,72.7,165,166,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2011973-matniyazova-gulnoza.htm
Davlat BOBONOV,#7,-90,M,Uzbekistan,27,89.5,92.6,165,182,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012663-bobonov-davlat.htm
Hidayat HEYDAROV,#1,-73,M,Azerbaijan,26,72.9,,166,165,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Willian LIMA,#8,-66,M,Brazil,24,65.9,72.2,166,165,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Djamila SILVA,#44,-52,W,Cape Verde,27,51.8,,166,,
Nadia Matchiko GUIMENDEGO,#45,-63,W,Central African Republic,27,62.7,,166,,
Hifumi ABE,#6,-66,M,Japan,26,65.8,70.7,166,167,https://ja.wikipedia.org/wiki/%E9%98%BF%E9%83%A8%E4%B8%80%E4%BA%8C%E4%B8%89
Nora GJAKOVA,#8,-57,W,Kosovo,31,56.9,,166,165,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Daria BILODID,#14,-57,W,Ukraine,23,56.6,,166,172,https://www.straitstimes.com/sport/daria-bilodid-covets-olympic-judo-gold-to-show-ukraine-still-standing
Messaoud Redouane DRIS,#14,-73,M,Algeria,22,73.4,,167,175,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Balabay AGHAYEV,#7,-60,M,Azerbaijan,25,59.8,,167,,
Luukas SAHA,#23,-66,M,Finland,26,65.7,,167,167,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Pauline STARKE,#15,-57,W,Germany,26,56.6,57.6,167,185,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Laura FAZLIU,#3,-63,W,Kosovo,23,62.7,,167,173,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Angelika SZYMANSKA,#4,-63,W,Poland,24,62.7,,167,,
Nigara SHAHEEN,#205,-63,W,Refugee Olympic Team,31,62.8,65.5,167,,
Kaja KAJZER,#17,-57,W,Slovenia,24,56.9,,167,,
Maysa PARDAYEVA,#19,-57,W,Turkmenistan,19,56.6,,167,,
Eljan HAJIYEV,#18,-90,M,Azerbaijan,22,89.8,,168,,
Rafaela SILVA,#4,-57,W,Brazil,32,56.9,59.8,168,169,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Daniel CARGNIN,#6,-73,M,Brazil,26,72.8,76.2,168,168,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Yung Wei YANG,#1,-60,M,Chinese Taipei,26,59.7,,168,168,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2006150-yang-yung-wei.htm
Elisavet TELTSIDOU,#2,-70,W,Greece,28,69.8,,168,170,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Marie BRANSER,#21,-78,W,Guinea,31,77.3,,168,,
Sanne VAN DIJKE,#5,-70,W,Netherlands,28,70,73.4,168,174,https://olympics.com/en/paris-2024/athlete/sanne-van-dijke_1966742
Barbara TIMO,#15,-63,W,Portugal,33,62.9,,168,168,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-ea567779-9fd8-4863-b79c-4d3cc875d28c
Maria PEREZ,#14,-70,W,Puerto Rico,35,69.5,,168,167,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Denis VIERU,#1,-66,M,Republic of Moldova,28,65.9,,168,173,https://www.adh.de/fileadmin/user_upload/pdf/wettkampf/ergebnisse-international/WUG_Universiade_Sommer/2019/Judo_Universiade_2019_Ergbenisse.pdf
Metka LOBNIK,#19,-78,W,Slovenia,23,77.3,,168,168,https://olympics.com/en/paris-2024/athlete/metka-lobnik_1981204
David GARCIA TORNE,#9,-66,M,Spain,26,65.8,72.5,168,,
Serdar RAHIMOV,#29,-66,M,Turkmenistan,20,65.7,,168,,
Jack YONEZUKA,#20,-73,M,United States of America,21,72.7,,168,,
Mariana ESTEVES,#25,-57,W,Guinea,28,56.7,,169,164,http://www.ekksl.ee/wp-content/uploads/2017/05/judo_tulemused-1.pdf
Rika TAKAYAMA,#9,-78,W,Japan,29,77.7,80.9,169,169,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDW78KG--------------------------.pdf
Moira DE VILLIERS,#30,-78,W,New Zealand,34,77.4,,169,168,https://resources.cwg-qbr.pulselive.com/qbr-commonwealth-games/document/2022/11/24/e720049e-7ca6-4c75-9a27-8b6e55b1af1f/JUDO-CG2014-Official-Results-Book.pdf
Won Jin KIM,#23,-60,M,Republic of Korea,32,59.9,70.5,169,168,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Cristina CABANA PEREZ,#26,-63,W,Spain,31,62.3,63.3,169,165,https://gdm2022-pdf.microplustimingservices.com/JUD/ResultBook/GDM2022_JUD_v1.5.pdf
Amina BELKADI,#20,-63,W,Algeria,31,62.7,,170,170,https://res-taipei.fisu.net/eng/zb/engzb_judo-athlete-profile-n114700-belkadi-amina.htm
Edmilson PEDRO,#58,-66,M,Angola,27,65.9,,170,170,https://www.facebook.com/105914138305054/photos/a.105914161638385/357730493123416/?type=3
Katharina HAECKER,#5,-63,W,Australia,31,62.8,,170,168,https://b2022-pdf.microplustimingservices.com/JUD/2022-07-30/JUDW63KG--------------------------__C32C_1.0.pdf
Michaela POLLERES,#3,-70,W,Austria,27,69.7,,170,170,https://www.judoaustria.at/judoka/?judokaId=13682
Samuel GASSNER,#77,-73,M,Austria,23,72.8,76.1,170,170,https://www.judoaustria.at/judoka/?judokaId=36428
Ketleyn QUADROS,#25,-63,W,Brazil,36,62.8,64.5,170,165,https://admin.cob.org.br/uploads/CO_Bmedia_guide_mobile_2024_V3_89fd5895d0.pdf
Catherine BEAUCHEMIN-PINARD,#2,-63,W,Canada,30,62.7,67.7,170,161,https://olympic.ca/team-canada/catherine-beauchemin-pinard/
Demos MEMNELOUM,#91,-70,W,Chad,30,68.2,,170,,
Barbara MATIC,#1,-70,W,Croatia,29,69.8,,170,170,https://olympics.com/en/paris-2024/athlete/barbara-matic_1898499
Laerke OLSEN,#36,-70,W,Denmark,26,69.5,,170,,
Moira MORILLO,#30,78,W,Dominican Republic,23,133.8,,170,,
Vanessa CHALA,#31,-78,W,Ecuador,34,75.4,,170,,
Luka MKHEIDZE,#3,-60,M,France,28,59.8,65.1,170,160,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Luka-mkheidze/44
Joan-Benjamin GABA,#35,-73,M,France,23,72.8,76.4,170,170,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Joan-benjamin-gaba/46
Alpha Oumar DJALO,#26,-81,M,France,27,80.9,84.2,170,170,https://www.lequipe.fr/Judo/AussiFicheAthlete14500000000113853.html
Aurelien DIESSE,#50,-100,M,France,26,97.8,98.7,170,190,https://fr.wikipedia.org/wiki/Aur%C3%A9lien_Diesse
Romane DICKO,#1,78,W,France,24,121.7,,170,180,https://www.lequipe.fr/Judo/Fiche-guide/Athlete/Romane-dicko/43
Giorgi SARDALASHVILI,#2,-60,M,Georgia,21,59.9,66,170,,
Vazha MARGVELASHVILI,#2,-66,M,Georgia,30,65.9,73.9,170,167,https://78884ca60822a34fb0e6-082b8fd5551e97bc65e327988b444396.ssl.cf3.rackcdn.com/up/2021/12/Rio_Olympic_Games_Judo_Results-1639651592.pdf
Guram TUSHISHVILI,#4,100,M,Georgia,29,117.4,,170,193,https://ka.wikipedia.org/wiki/%E1%83%92%E1%83%A3%E1%83%A0%E1%83%90%E1%83%9B_%E1%83%97%E1%83%A3%E1%83%A8%E1%83%98%E1%83%A8%E1%83%95%E1%83%98%E1%83%9A%E1%83%98
Sophio SOMKHISHVILI,#29,78,W,Georgia,24,120.9,,170,,
Philippe Abel METELLUS,#152,-73,M,Haiti,34,72.6,,170,,
Timna NELSON LEVY,#10,-57,W,Israel,30,56.9,59.7,170,,
Baruch SHMAILOV,#24,-66,M,Israel,29,65.9,75.9,170,170,https://en.wikipedia.org/wiki/Baruch_Shmailov
Matteo PIRAS,#10,-66,M,Italy,30,65.9,75.5,170,170,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/2161:MATTEO_PIRAS.html
Manuel LOMBARDO,#4,-73,M,Italy,25,72.7,76.2,170,161,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/673:MANUEL__LOMBARDO.html
Alice BELLANDI,#1,-78,W,Italy,25,77.9,77.1,170,175,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/675:ALICE_BELLANDI.html
Christian PARLATI,#9,-90,M,Italy,26,89.5,92.3,170,179,https://parigi2024.coni.it/it/italia-team/gli-azzurri/scheda_atleta/674:CHRISTIAN_PARLATI.html
Saki NIIZOE,#6,-70,W,Japan,28,69.6,72,170,170,https://res-taipei.fisu.net/eng/zb/engzb_judo-athlete-profile-n151405-niizoe-saki.htm
Soichi HASHIMOTO,#2,-73,M,Japan,32,72.7,76.2,170,170,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDM73KG--------------------------.pdf
Kubanychbek AIBEK UULU,#33,-66,M,Kyrgyzstan,23,65.9,,170,165,https://www.ocagames.com/HZ_Info/AG2022-/resAG2022-/pdf/AG2022-/JUD/AG2022-_JUD_C32C_JUDM66KG--------------------------.pdf
Khuslen OTGONBAYAR,#28,-78,W,Mongolia,19,77.8,80.8,170,175,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2016571-otgonbayar-khuslen.htm
Julie BEURSKENS,#31,-57,W,Netherlands,20,56.8,59.5,170,163,https://olympics.com/en/paris-2024/athlete/julie-beurskens_1966748
Noel VAN T END,#19,-90,M,Netherlands,33,89.9,94,170,185,https://www.olympedia.org/athletes/135270
Joao FERNANDO,#24,-81,M,Portugal,24,80.8,,170,179,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-57e45cbd-ad11-438f-8b8f-3650041627cc
Rochele NUNES,#13,78,W,Portugal,35,114.9,,170,170,https://comiteolimpicoportugal.pt/noticias/detalhe-da-noticia/?id=NEW-264ea560-8399-4454-be9d-9ac8735af3e3
Sibghatullah ARAB,#109,-81,M,Refugee Olympic Team,23,80.6,83,170,,
Adnan KHANKAN,#143,-100,M,Refugee Olympic Team,30,99.9,104.7,170,,
Mahboubeh BARBARI ZHARFI,#170,78,W,Refugee Olympic Team,32,114.2,,170,,
Mihail LATISEV,#28,-81,M,Republic of Moldova,20,80.8,,170,,
Roldeney DE OLIVEIRA,#324,-73,M,Sao Tome and Principe,24,72.2,,170,,
Anka POGACNIK,#18,-70,W,Slovenia,32,69.5,,170,170,https://olympics.com/en/paris-2024/athlete/anka-pogacnik_1980838
Salvador CASES ROCA,#15,-73,M,Spain,26,72.9,76.3,170,,
Khalimajon KURBONOVA,#27,-48,W,Uzbekistan,22,47.7,48.6,170,157,https://www.ocagames.com/HZ_Info/AG2022-/en/results/judo/athlete-profile-n2012661-kurbonova-khalimajon.htm
